"GeneID"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Expression"	"10L1brain"	"10L2brain"	"10L3brain"	"10L4brain"	"10L5brain"	"22L1brain"	"22L2brain"	"22L3brain"	"22L4brain"	"22L5brain"
"94"	"TRINITY_DN10036_c0_g1"	0.0435716285519931	5.88581660287954	0.374195695144291	0.71497097259608	0.827104795509568	-7.32289732152366	"Unchanged"	1637	1650	1437	1571	1675	1813	1794	1538	1549	1422
"95"	"TRINITY_DN10036_c1_g1"	0.327531869583597	5.70530711505081	2.32120047977053	0.0392498413904288	0.121928044038312	-4.98660995928931	"Unchanged"	1576.73	1273.77	941.83	1330.51	1339.81	1773	1626.67	1405.38	1816	1280.56
"96"	"TRINITY_DN10036_c2_g1"	-0.479298034678038	-0.57608279811153	-1.18415669588317	0.259915905086295	0.436723519787535	-5.4411122519454	"Unchanged"	35	12	32	12	36	8	12	13	30	12
"97"	"TRINITY_DN10036_c4_g1"	-0.234717873391304	8.28504765329506	-2.96232898050183	0.0121960354699803	0.0551462769347161	-4.05540389786396	"Unchanged"	9464.32	8036.78	8548.88	10383.77	9216.88	7954.06	7312.41	7604.57	8755.07	7442.79
"98"	"TRINITY_DN100361_c0_g1"	0.954383090889793	-0.667046008866305	2.14082055622776	0.0541446142381793	0.152093152560492	-4.10446987018302	"Unchanged"	10	12	26	22	7	25	12	28	18	30
"99"	"TRINITY_DN100362_c0_g1"	-0.0690833244356178	-1.5425496795688	-0.147241430152748	0.885455344572476	0.935070413486876	-5.79436176552318	"Unchanged"	7	14	12	14	8	6	12	13.27	6	4
"100"	"TRINITY_DN10038_c0_g1"	-0.26548129386677	3.1171949179907	-2.39217947825408	0.0345396214936576	0.111769985855323	-4.47324209854893	"Unchanged"	246	252	277	258	257	212	189	194	316	182
"101"	"TRINITY_DN100389_c0_g1"	1.19028130535923	-0.767371715138342	2.88556009237442	0.0140414360917879	0.0608208768390884	-2.86471356620403	"Unchanged"	13	9	22	9	9	18	25	11	39	27
"102"	"TRINITY_DN10039_c0_g1"	-0.00993065053835304	1.49560840262519	-0.0398669077399494	0.968873333228131	0.982972594973509	-6.61209792075924	"Unchanged"	112	58	108	71	60	65	44	91	130	63
"103"	"TRINITY_DN100396_c0_g1"	-0.374064842943008	-0.153247828532459	-1.14282765166182	0.276020965174899	0.454408267146668	-5.58787984468547	"Unchanged"	42.76	23.35	32.21	24.1	27.31	11.95	9.93	17.95	46.26	25.29
"104"	"TRINITY_DN1004_c0_g1"	0.978281575901868	-1.11181190296054	1.1536341849077	0.271737043551169	0.449528560351338	-5.28766583775896	"Unchanged"	46.54	9.62	12.13	5	3.46	64.91	30.69	5	14.5	6.7
"105"	"TRINITY_DN1004_c0_g2"	0.261874961455004	10.0335806087676	1.13533355181624	0.279022276087165	0.457612925631223	-7.05975586350003	"Unchanged"	24552.86	23687.22	25151.14	39986.43	18244.1	25788.64	46177.45	35140.94	26776.05	28341.09
"106"	"TRINITY_DN10040_c0_g1"	1.18758487290682	2.8382119954068	7.97964857387244	4.61913581446708e-06	0.000390730040567152	4.5792136360135	"Up-regulated"	131.34	146.93	103.67	150.38	121.96	296.74	294.14	304.93	349.04	224.5
"107"	"TRINITY_DN10041_c0_g1"	-0.479005379840231	0.323107278691997	-1.75870892042192	0.104800105676578	0.237082832751934	-4.90148193212982	"Unchanged"	41	40	38	41	46	32	31	38	17	22
"108"	"TRINITY_DN100412_c0_g1"	0.16532778343846	1.54648521009572	0.839397920393003	0.418114767202878	0.592308381376005	-6.25972693699834	"Unchanged"	57	61	109	82	84	78	70	76	110	80
"109"	"TRINITY_DN100417_c0_g1"	0.543117891708564	-1.56404726070508	1.03722215822832	0.320653007880734	0.500563622973451	-5.28238035028743	"Unchanged"	16	4	9	4	18	5	4	14	17	13
"110"	"TRINITY_DN10042_c0_g1"	-0.303556068938036	2.75763717992767	-1.86441136104804	0.0876076854499014	0.210100071397954	-5.2637200170335	"Unchanged"	236.74	193.23	176.01	248.93	177.81	192.99	114.62	185.98	221.75	124.81
"111"	"TRINITY_DN10042_c2_g1"	-0.0845967099451797	-0.320827643228969	-0.369479386012586	0.718389519705726	0.829436506109536	-6.12743739479911	"Unchanged"	25.56	23.96	28.41	23.54	18.3	21.12	18	14.96	26.2	16.35
"112"	"TRINITY_DN10042_c3_g1"	0.53564962663544	0.181761220240311	1.28687126952935	0.223086785471008	0.395061318895408	-5.49713666707148	"Unchanged"	27.32	48.71	36.56	7.84	36.43	47.33	18.36	42.75	58.29	21.73
"113"	"TRINITY_DN10043_c0_g2"	0.528798510582292	1.95990081383284	2.34431671973559	0.037651799446693	0.118527550856874	-4.31398412396038	"Unchanged"	70.64	86.89	119.41	68.21	108.3	105	88.45	159.21	126.1	168.97
"114"	"TRINITY_DN100433_c0_g1"	-0.452192539146407	-1.20610602523006	-1.2016678884282	0.253318030591527	0.429509055827917	-5.23810738267128	"Unchanged"	25	11	14	11	15	17	5	6	7	12
"115"	"TRINITY_DN100437_c0_g1"	0.00497335882295915	-0.834657912837494	0.0130353946865386	0.989819812403651	0.995015236779844	-6.06121617409201	"Unchanged"	34	16	8	18	15	19	8	10	21	12
"116"	"TRINITY_DN100438_c0_g1"	-0.229146351343044	-1.32744796691522	-0.513120929022893	0.61744375653599	0.756996288922302	-5.75234832530943	"Unchanged"	16.35	7.09	24.45	6.19	17.3	11.15	3.08	5.12	16.23	10.22
