"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","10L1brain","10L2brain","10L3brain","10L4brain","10L5brain","22L1brain","22L2brain","22L3brain","22L4brain","22L5brain"
"3702","TRINITY_DN73625_c0_g1",-1.12734834663212,0.960008404424631,-5.31118976788603,0.000203411161139049,0.00373144568820035,0.963259612847347,104,87,70,52,91,30,30,26,49,36
"3703","TRINITY_DN73662_c0_g1",1.63393295496185,-0.794635178014236,4.268060845735,0.00116213805282609,0.011477376974201,-0.616464354827412,11,4,14,12,13,33,16,33,30,20
"3704","TRINITY_DN73669_c0_g1",-4.49903489261196,-2.2792604512759,-7.0042288639798,1.65603570856844e-05,0.000810113838766931,1.51718237954995,39.34,28.27,24.13,24.28,25.12,3.03,0,2.02,0,0
"3705","TRINITY_DN73703_c0_g1",-1.28541634564383,-0.983718617634868,-3.07805132028096,0.00986246396291807,0.0477408836626269,-2.50994863712208,28,15,23,20,34,6,5,14,16,2
"3706","TRINITY_DN73707_c0_g1",-1.05485472583881,0.0821737645438241,-3.60192931719132,0.00379337083279503,0.0251507389704386,-1.77729315284148,48,43,36,36,56,15,6,27,34,18
"3707","TRINITY_DN73760_c0_g1",-2.41547322145928,-1.49266121679235,-4.88847609329234,0.000404898992782475,0.00574438429392463,-0.0344343688790927,23,23,38,15,25,4,3,2,7,1
"3708","TRINITY_DN7377_c4_g1",1.46185783224073,0.114040282295001,4.11783977617842,0.00151117026865789,0.0136308560667614,-0.899743560435684,22.13,18.09,32.92,19.68,9.38,37.13,52.99,40.48,45.27,61.99
"3709","TRINITY_DN73772_c0_g1",-1.49887215952432,-1.01881907938751,-4.90947876187891,0.000391054077557985,0.0056209889884927,0.300639388817865,29,26,24,16,24,6,8,8,6,5
"3710","TRINITY_DN73836_c0_g1",2.5069751860993,-0.883722855436972,5.83703598356073,8.94762680747506e-05,0.00223394289369353,1.42039366585376,10,11,13.56,4,3,32.26,34.27,31,38.5,29.39
"3711","TRINITY_DN73854_c0_g1",3.17346800096741,-1.79249945273912,5.10192686654122,0.000285116427896954,0.00458945475872838,-0.105882180037548,2.12,2.11,1.71,8.38,4.17,28.48,11.42,28.02,30.47,14.47
"3712","TRINITY_DN7388_c0_g1",1.78930086950771,3.08393943140448,9.21595441841372,1.06583830160706e-06,0.000179484917113153,6.04013844874778,123.37,111.12,132.48,110.8,151.42,444.26,308.35,361.47,765.92,359.08
"3713","TRINITY_DN7394_c6_g1",2.05539314607885,-1.96059949200747,3.93435984144936,0.0020899469285842,0.0168540637492065,-1.34823326673345,4.01,2.65,4.86,9.44,2.82,11.26,9.45,9.37,20.84,12.57
"3714","TRINITY_DN73954_c0_g1",-6.07570420250015,-2.66741013501361,-8.97690393016004,1.3982240674991e-06,0.000202166944528728,2.68520253393425,47,38,52,16,41,0,0,0,0,0
"3715","TRINITY_DN73962_c0_g1",-2.50523025807927,-1.33873139285011,-5.52255060031414,0.000145539053296896,0.00301218213389326,0.768296627201085,31,21,34,25,27,1,1,8,7,3
"3716","TRINITY_DN73977_c0_g1",1.62583614772155,-1.02043991889712,4.53734002264205,0.000730836424601395,0.00842537600052872,-0.237169225481796,11.48,7,6,5,16,21,19.58,31,24,15
"3717","TRINITY_DN73998_c0_g1",-1.63113395587987,-1.2693949825024,-3.12520636431796,0.00904535702779818,0.0451280511923474,-2.40631463100053,16,35,15,13,39,7,2,5,10,3
